200      GET       28l      100w     3956c http://10.11.1.39/images/poweredby.png
200      GET      132l      307w     5081c http://10.11.1.39/noindex/css/open-sans.css
200      GET        7l      340w    19341c http://10.11.1.39/noindex/css/bootstrap.min.css
200      GET        6l       51w     2326c http://10.11.1.39/images/apache_pb.gif
403      GET      120l      540w     4897c http://10.11.1.39/
403      GET        8l       22w      207c http://10.11.1.39/.html
403      GET        8l       22w      206c http://10.11.1.39/.hta
403      GET        8l       22w      211c http://10.11.1.39/.htpasswd
403      GET        8l       22w      211c http://10.11.1.39/.htaccess
403      GET        8l       22w      210c http://10.11.1.39/.hta.txt
403      GET        8l       22w      215c http://10.11.1.39/.htpasswd.txt
403      GET        8l       22w      215c http://10.11.1.39/.htaccess.txt
403      GET        8l       22w      211c http://10.11.1.39/.hta.html
403      GET        8l       22w      216c http://10.11.1.39/.htaccess.html
403      GET        8l       22w      216c http://10.11.1.39/.htpasswd.html
403      GET        8l       22w      210c http://10.11.1.39/.hta.php
403      GET        8l       22w      215c http://10.11.1.39/.htaccess.php
403      GET        8l       22w      215c http://10.11.1.39/.htpasswd.php
403      GET        8l       22w      210c http://10.11.1.39/.hta.asp
403      GET        8l       22w      215c http://10.11.1.39/.htaccess.asp
403      GET        8l       22w      215c http://10.11.1.39/.htpasswd.asp
403      GET        8l       22w      211c http://10.11.1.39/.hta.aspx
403      GET        8l       22w      216c http://10.11.1.39/.htaccess.aspx
403      GET        8l       22w      216c http://10.11.1.39/.htpasswd.aspx
403      GET        8l       22w      210c http://10.11.1.39/.hta.jsp
403      GET        8l       22w      215c http://10.11.1.39/.htaccess.jsp
403      GET        8l       22w      215c http://10.11.1.39/.htpasswd.jsp
403      GET        8l       22w      210c http://10.11.1.39/cgi-bin/
403      GET        8l       22w      215c http://10.11.1.39/cgi-bin/.html
301      GET        7l       12w      184c http://10.11.1.39/robots.txt => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.txt => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.html => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.php => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.asp => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.aspx => http://10.11.1.39/bad.txt
301      GET        7l       12w      184c http://10.11.1.39/robots.txt.jsp => http://10.11.1.39/bad.txt
200      GET        1l        8w       48c http://10.11.1.39/bad.txt
